Nombre,Definicion,Tipo de variable,Catalogo
Año,Año calendario,int64,"{2013,2014,2015,2016,2017,2019,2019,2020,2021,2023,2024}"
Clave_Estado,Código que identifica a la entidad federativa o estado,int64,26
Nombre_Estado,Nombre oficial de la entidad federativa o estado,object,{'Sonora'}
Clave_Municipio,Código que identifica al municipio de cada entidad federativa,int64,"{ 1,6, 13,14,19,34,53,66}"
Nombre_Municipio,Nombre del municipio,object,"{'Huépac', 'Ures', 'Aconchi', 'Arizpe', 'Banámichi', 'Baviácora', 'Cananea', 'San Felipe de Jesús'}"
Nombre_Especie,Nombre de la especie pecuaria,object,"{Bovino, Ovino, Porcino, Caprino}"
Clave_Producto,Código que identifica el producto pecuario,int64,"{ 1,3,6, }"
Nombre_Producto,Nombre del producto pecuario,object,"{'Carne', 'Ganado en pie','Leche' }"
Volumen,"Producción pecuaria en toneladas o miles de litros (para leche)	",float64,{#############.##}
Precio,Precio medio por kilogramo de carne o por litro para otros productos,float64,{#############.##}
Valor Total,Valor monetario de los productos pecuarios en miles de pesos,float64,{#############.##}
